1.9835,1781460812239
0.6109,1781460812251
1.1666,1781460812264
0.3488,1781460812276
0.188,1781460812289
0.5165,1781460812301
0.759,1781460812314
1.8639,1781460812326
0.6521,1781460812339
1.2452,1781460812351
1.6801,1781460812364
1.4707,1781460812377
1.6454,1781460812389
1.9101,1781460812402
1.6267,1781460812412
0.4551,1781460812425
1.0044,1781460812437
0.7451,1781460812449
0.379,1781460812461
1.141,1781460812472
0.5754,1781460812485
0.7853,1781460812497
0.8246,1781460812510
1.9522,1781460812523
0.9309,1781460812535
1.5546,1781460812548
0.1388,1781460812560
1.7495,1781460812573
1.458,1781460812585
1.4909,1781460812597
0.6942,1781460812610
1.8316,1781460812622
0.5311,1781460812635
1.6157,1781460812646
1.6539,1781460812657
0.3613,1781460812669
1.5083,1781460812681
0.2679,1781460812694
0.3769,1781460812706
1.9952,1781460812718
1.7992,1781460812731
1.1028,1781460812742
0.3474,1781460812753
0.1795,1781460812765
1.1763,1781460812778
0.6882,1781460812790
0.4845,1781460812802
1.2628,1781460812814
1.7127,1781460812827
1.8911,1781460812839
1.3971,1781460812852
1.572,1781460812864
0.7751,1781460812877
0.8686,1781460812889
0.1432,1781460812902
0.5891,1781460812914
0.7585,1781460812927
1.319,1781460812939
1.5372,1781460812952
1.7449,1781460812964
0.603,1781460812977
1.1185,1781460812989
0.5521,1781460813002
1.3113,1781460813014
1.8814,1781460813026
0.4158,1781460813039
1.222,1781460813051
0.6217,1781460813062
1.9415,1781460813073
0.5692,1781460813085
1.9088,1781460813097
0.54,1781460813110
1.6777,1781460813122
1.9897,1781460813135
0.3483,1781460813148
1.2569,1781460813159
1.3045,1781460813172
1.0218,1781460813184
0.4346,1781460813196
0.2592,1781460813208
1.7163,1781460813219
0.2687,1781460813232
0.7051,1781460813243
1.0987,1781460813254
1.5137,1781460813266
1.1511,1781460813279
0.1827,1781460813291
0.3694,1781460813304
0.9906,1781460813316
1.8806,1781460813329
1.2754,1781460813341
0.1904,1781460813354
1.0214,1781460813367
1.4558,1781460813377
0.3182,1781460813389
0.7125,1781460813402
1.5712,1781460813414
0.4145,1781460813427
1.3428,1781460813439
0.7661,1781460813452
1.1507,1781460813464
1.622,1781460813477
0.6971,1781460813489
1.3618,1781460813500
0.7991,1781460813513
0.2215,1781460813524
0.2491,1781460813537
0.3244,1781460813549
1.8032,1781460813561
0.5922,1781460813573
0.6939,1781460813585
1.5683,1781460813597
1.7391,1781460813608
